               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11746,            0.019238,            0.078304,            0.015729,             0.23404,             0.01173,           0.0026296,             0.11156,            0.013558,            0.082199,              0.0946,              0.0006,              0.0006
                   1,             0.10885,            0.022015,            0.068293,            0.021313,             0.62411,            0.045953,           0.0090992,             0.10129,            0.014232,             0.06463,            0.088171,           0.0011713,           0.0011713
                   2,            0.094341,            0.026012,            0.053199,             0.24624,            0.070922,             0.13957,            0.034278,             0.08781,            0.015422,            0.041811,            0.081604,            0.001604,            0.001604
                   3,             0.08887,            0.027495,            0.039124,             0.19937,             0.37589,             0.19933,            0.057058,            0.074523,            0.016159,            0.023804,            0.074898,           0.0018981,           0.0018981
                   4,            0.081959,            0.028224,            0.026625,             0.41557,             0.50936,             0.41507,             0.11667,            0.069635,            0.014991,            0.014909,            0.068054,           0.0020536,           0.0020536
                   5,            0.074099,            0.026486,            0.019943,             0.15464,             0.69504,             0.15003,            0.044923,            0.074384,            0.014482,            0.011872,            0.061071,           0.0020705,           0.0020705
                   6,             0.06618,            0.026632,            0.016026,              0.3203,             0.70922,             0.30342,            0.092719,            0.068822,            0.015693,             0.00942,            0.053949,           0.0019488,           0.0019488
                   7,             0.06339,            0.022304,            0.012736,             0.39981,             0.66141,             0.46578,             0.13865,            0.060503,            0.015012,           0.0091259,            0.046689,           0.0016885,           0.0016885
                   8,            0.058203,             0.02273,            0.012279,             0.44383,             0.78014,               0.467,             0.16882,            0.054531,            0.014623,             0.00833,             0.03929,           0.0012896,           0.0012896
                   9,            0.051465,            0.020104,            0.010212,              0.4204,             0.78723,             0.46754,             0.18296,            0.050551,            0.014141,           0.0081114,            0.031752,           0.0007521,           0.0007521
